41.0 62.0 149.0 
43.5609 62.4744 146.029 
43.821 61.1246 144.952 
46.2151 64.1246 146.846 
60.4412 70.0694 144.523 
61.3465 68.6652 148.909 
65.8784 74.9039 139.693 
64.0364 72.9449 139.569 
41.0 58.0 138.0 
42.7747 55.4243 144.205 
43.939 60.0777 144.859 
48.8817 61.636 136.665 
67.4754 80.8038 129.328 
70.8584 75.0 129.524 
51.8392 65.9714 147.203 
43.3659 67.7895 147.062 
78.4894 76.5902 157.874 
78.2335 79.5975 156.457 
52.7757 61.6433 121.834 
58.0396 65.0795 124.852 
38.0483 73.1741 149.194 
39.472 75.7868 146.019 
37.2381 89.6478 136.22 
40.9201 90.5362 137.758 
52.1164 103.402 130.575 
47.4381 104.508 124.897 
53.9207 104.318 129.181 
56.5315 102.139 132.171 
39.5878 38.0506 143.776 
34.9431 37.883 142.13 
12.0904 30.8273 138.094 
17.2522 36.2891 141.444 
33.6441 92.4193 130.615 
32.272 90.8745 129.301 
50.825 60.4789 111.54 
54.1723 63.6588 108.362 
31.5551 76.7631 159.434 
24.4346 75.4112 168.003 
49.2332 61.9671 135.191 
56.4738 61.1248 135.589 
25.031 90.5226 118.244 
23.0659 91.2148 119.282 
25.9677 35.5684 141.35 
29.4732 31.8131 137.513 
80.7173 84.2421 156.042 
82.5415 89.6289 160.361 
27.0 79.0 164.0 
25.0 81.0 158.0 
43.8899 58.8588 144.664 
44.9919 59.2894 145.548 
29.38 77.7449 159.789 
32.265 78.4912 163.717 
34.5513 74.9523 154.778 
33.4556 74.8961 151.944 
51.2466 16.0468 141.301 
47.7703 14.9156 138.937 
55.0 114.0 132.0 
64.7158 105.405 120.672 
24.0305 76.2342 169.702 
23.112 73.5135 168.002 
51.3626 66.3463 89.0743 
49.6661 63.8651 93.9267 
52.7496 62.1119 119.048 
54.5227 57.0006 118.244 
43.9361 26.0482 143.222 
42.13 20.5528 150.579 
46.1576 20.2143 141.073 
47.8335 20.8604 138.37 
75.7419 71.9323 124.641 
75.3522 75.1683 122.056 
51.4412 111.542 109.696 
52.0 122.0 118.0 
60.0 123.0 74.0 
54.0 119.0 71.0 
39.5538 83.321 141.879 
30.0 86.0 139.0 
29.4943 74.7548 151.493 
30.0 75.0 154.0 
54.4495 53.0812 116.782 
54.0 57.0 117.0 
85.9271 100.329 165.445 
89.0408 98.8623 167.0 
20.0 79.0 185.0 
19.6496 82.7479 179.065 
96.0989 76.7316 166.396 
83.0484 79.1538 166.126 
47.5193 17.8779 140.573 
44.298 17.5352 140.791 
41.6733 32.5231 144.236 
47.4825 34.6178 142.74 
44.3015 95.5297 132.672 
44.0986 96.1062 135.902 
23.0 87.0 107.0 
23.0 92.0 111.0 
53.2557 62.6573 103.032 
57.893 62.8998 107.716 
56.7633 118.031 86.624 
61.6735 118.766 84.012 
48.7434 20.7831 136.95 
49.1418 20.7725 138.593 
77.0331 75.9308 114.581 
72.0 77.0 110.0 
49.2702 19.8888 132.778 
55.0008 21.3536 131.195 
44.0 15.0 141.0 
36.0 10.0 139.0 
22.3515 16.8674 127.244 
20.2125 16.3443 128.629 
63.6558 119.738 83.8515 
63.2247 118.827 81.8578 
45.8155 98.7924 129.621 
47.6367 94.5958 131.079 
40.3491 46.4889 143.452 
40.2504 51.618 141.306 
47.9367 105.693 123.245 
47.3975 110.86 127.288 
77.0 70.0 123.0 
77.7458 70.5327 123.655 
55.4858 116.06 95.5842 
60.0 112.0 99.0 
9.02049 24.5572 137.822 
5.0 34.0 129.0 
100.0 109.0 179.0 
97.4965 106.021 179.094 
54.6644 66.7402 147.248 
52.0192 67.7293 147.846 
33.7638 75.0803 156.189 
39.0 83.0 160.0 
51.9369 62.9548 127.486 
48.246 64.6031 130.737 
69.8612 73.5487 153.426 
66.3054 70.5163 153.587 
49.177 62.3333 91.4626 
45.0 63.0 95.0 
57.0 89.0 124.0 
57.0 93.0 131.0 
49.0 18.0 131.0 
48.5095 19.1475 129.541 
66.016 71.1991 151.654 
62.9915 66.1989 148.847 
39.4217 77.5448 145.036 
42.0944 79.0008 150.013 
28.0 100.0 129.0 
28.0 100.0 127.0 
6.51264 22.2185 139.121 
9.0 17.0 136.0 
52.4763 63.5129 100.34 
54.8425 56.9614 98.4968 
25.3938 9.88389 122.34 
28.0 13.0 126.0 
44.7641 14.3537 158.823 
45.4693 11.0208 161.215 
39.6676 88.4749 139.372 
41.9712 83.4224 139.694 
83.3022 78.0735 162.766 
84.0 66.0 175.0 
81.3913 104.635 108.954 
77.5314 104.867 112.077 
49.1505 117.567 129.714 
54.9575 122.144 128.107 
49.4558 108.821 119.063 
52.0 114.0 122.0 
53.5423 70.6814 152.39 
50.8306 73.6561 152.438 
32.6085 80.7053 164.866 
33.0 78.0 171.0 
106.167 49.0444 109.416 
112.0 48.0 102.0 
49.2039 116.819 128.919 
42.0 116.0 131.0 
23.8562 90.2008 113.15 
24.5999 92.0681 113.972 
106.125 110.649 193.831 
111.878 110.458 203.927 
55.3824 124.32 127.812 
57.8722 123.727 125.242 
97.391 108.054 92.856 
97.0 112.0 94.0 
52.1647 68.7712 87.303 
51.85 66.4268 86.6225 
55.9804 119.363 79.6472 
57.6349 112.703 82.0196 
10.0867 8.7535 127.436 
12.0 5.0 129.0 
58.8528 67.5974 123.371 
64.7291 64.0687 122.347 
75.4603 75.4078 117.138 
80.5401 77.1442 121.548 
120.0 112.0 216.0 
120.952 107.628 217.906 
55.0 69.0 84.0 
51.6411 70.6834 87.0559 
89.9809 108.232 99.9619 
87.4244 105.085 104.308 
48.0 4.0 134.0 
49.2268 10.7055 133.6 
50.1734 67.6477 71.4139 
54.2668 64.6975 69.8495 
44.3546 8.74449 163.388 
49.524 8.59975 162.067 
53.0 58.0 107.0 
45.885 57.1071 106.447 
82.428 80.413 167.058 
84.9257 80.51 170.304 
89.0 109.0 164.0 
79.0 103.0 171.0 
32.5982 50.0736 129.27 
30.8156 52.0884 130.147 
48.8995 107.649 121.071 
44.9284 103.177 118.772 
54.7101 113.73 101.982 
46.3625 109.866 104.164 
83.0 76.0 110.0 
79.7953 74.365 108.344 
81.0 103.0 112.0 
80.0 111.0 111.0 
39.0 71.0 58.0 
49.8414 74.3314 60.9093 
47.8302 123.039 132.155 
50.2147 126.194 134.953 
48.634 121.715 132.451 
50.06 118.442 133.65 
54.8939 53.2096 147.062 
52.1599 55.3116 143.905 
128.0 109.0 223.0 
119.541 95.4542 227.08 
52.384 69.7715 150.513 
52.0 74.0 142.0 
60.5462 63.7439 106.524 
61.0 58.0 107.0 
80.0 76.0 104.0 
83.0 68.0 103.0 
96.7912 57.4905 111.298 
100.0 61.0 106.0 
24.0 4.0 116.0 
26.0 6.0 116.0 
82.0 87.0 157.0 
83.6478 90.2766 150.245 
33.0 82.0 166.0 
32.6566 84.0164 166.211 
71.7119 74.6325 128.142 
79.0 81.0 129.0 
41.5059 51.4799 143.487 
40.7456 54.6626 145.932 
47.0 22.0 126.0 
47.8339 18.2453 126.937 
62.0 61.0 61.0 
66.0 68.0 62.0 
50.7895 55.804 145.144 
41.9674 60.0324 150.257 
56.0 109.0 79.0 
62.0 107.0 81.0 
22.8168 99.0059 91.8456 
27.0 99.0 90.0 
55.8753 51.1455 147.046 
56.865 53.279 148.598 
68.5021 82.4013 125.688 
61.0 87.0 129.0 
45.9295 71.8867 127.704 
49.0 71.0 124.0 
22.5924 97.2682 99.802 
20.1452 103.039 101.828 
22.1339 78.2314 174.24 
29.0 78.0 182.0 
48.3995 66.8338 130.13 
43.0173 65.4036 128.804 
12.0 37.0 143.0 
17.0 41.0 138.0 
16.4118 11.9915 128.513 
