0 1 8330.0 5.26507 
1 2 3355.37 3.63543 
1 3 4974.63 4.4857 
530 4 667.735 1.90653 
530 5 1034.99 2.49454 
470 6 33.3868 0.241064 
470 7 600.962 1.70056 
48 8 16.6934 0.189023 
48 9 1969.82 2.99929 
2 10 2153.45 3.02639 
2 11 1201.92 2.65469 
974 12 66.7735 0.532082 
974 13 450.721 1.5392 
3 14 1819.58 3.06913 
3 15 3155.05 3.83739 
526 16 133.547 0.772931 
526 17 617.655 2.07527 
128 18 884.749 2.24725 
128 19 66.7735 0.547453 
708 20 734.509 1.79442 
708 21 2387.15 3.46396 
152 22 617.655 1.69741 
152 23 1602.57 2.91717 
110 24 317.174 1.90857 
110 25 1001.6 2.2965 
24 26 283.788 1.76764 
24 27 33.3868 0.338218 
770 28 1101.76 2.19581 
770 29 550.882 1.73866 
466 30 66.7735 0.764679 
466 31 33.3868 0.269431 
864 32 50.0802 0.352322 
864 33 550.882 1.48741 
760 34 50.0802 0.510954 
760 35 617.655 1.83728 
402 36 166.934 0.681854 
402 37 383.948 1.51827 
11 38 1168.54 2.41598 
11 39 33.3868 0.380163 
550 40 350.561 1.13673 
550 41 66.7735 0.38909 
378 42 133.547 0.992502 
378 43 367.255 1.4192 
320 44 233.707 1.16003 
320 45 300.481 2.01334 
50 46 16.6934 0.129145 
50 47 16.6934 0.148421 
10 48 1986.51 3.01996 
10 49 166.934 0.785849 
36 50 33.3868 0.237103 
36 51 133.547 0.642519 
992 52 584.269 1.67423 
992 53 133.547 0.650093 
86 54 283.788 1.21604 
86 55 150.24 0.744022 
26 56 16.6934 0.262096 
26 57 267.094 1.74017 
37 58 350.561 1.21957 
37 59 33.3868 0.250092 
270 60 383.948 1.39913 
270 61 50.0802 0.318585 
18 62 684.429 2.00326 
18 63 200.321 1.10133 
584 64 734.509 1.69742 
584 65 250.401 1.19822 
702 66 467.415 1.41154 
702 67 250.401 0.966345 
506 68 300.481 1.32925 
506 69 116.854 0.72768 
646 70 434.028 1.82112 
646 71 16.6934 0.30132 
180 72 16.6934 0.202306 
180 73 16.6934 0.229456 
386 74 2286.99 3.27628 
386 75 16.6934 0.301234 
932 76 83.4669 0.568435 
932 77 16.6934 0.0502024 
63 78 183.627 1.01092 
63 79 16.6934 0.0348634 
486 80 33.3868 0.402138 
486 81 233.707 1.68187 
548 82 16.6934 0.216824 
548 83 267.094 1.04041 
154 84 33.3868 0.419458 
154 85 66.7735 0.396418 
66 86 434.028 1.35128 
66 87 33.3868 0.29857 
360 88 1001.6 2.03775 
360 89 83.4669 0.703532 
774 90 1368.86 2.81977 
774 91 116.854 0.600576 
170 92 16.6934 0.180538 
170 93 16.6934 0.075755 
35 94 567.575 1.69413 
35 95 50.0802 0.335167 
668 96 150.24 0.706758 
668 97 183.627 0.933464 
67 98 217.014 0.902678 
67 99 33.3868 0.144772 
186 100 66.7735 0.440482 
186 101 16.6934 0.209105 
398 102 116.854 0.663214 
398 103 83.4669 0.613981 
87 104 16.6934 0.0661927 
87 105 16.6934 0.293356 
624 106 100.16 0.569739 
624 107 133.547 0.740908 
97 108 33.3868 0.179715 
97 109 150.24 0.826838 
90 110 1318.78 2.76918 
90 111 50.0802 0.360747 
242 112 1669.34 2.80902 
242 113 233.707 0.995568 
25 114 517.495 1.9788 
25 115 484.108 1.35482 
68 116 16.6934 0.0731359 
68 117 283.788 1.2876 
210 118 367.255 1.43299 
210 119 16.6934 0.163187 
30 120 50.0802 0.491623 
30 121 16.6934 0.309092 
462 122 16.6934 0.165058 
462 123 183.627 1.45141 
14 124 1719.42 2.9635 
14 125 100.16 0.49063 
52 126 567.575 1.59358 
52 127 16.6934 0.273294 
450 128 951.523 2.37694 
450 129 183.627 0.765115 
138 130 884.749 2.30102 
138 131 66.7735 0.518037 
61 132 33.3868 0.229751 
61 133 16.6934 0.125743 
926 134 16.6934 0.224949 
926 135 16.6934 0.135332 
102 136 16.6934 0.0674075 
102 137 100.16 0.652594 
5 138 951.523 2.42939 
5 139 83.4669 0.57581 
21 140 2320.38 3.40046 
21 141 66.7735 0.464727 
324 142 16.6934 0.113639 
324 143 16.6934 0.130311 
120 144 33.3868 0.281166 
120 145 16.6934 0.200906 
94 146 484.108 1.56017 
94 147 83.4669 0.5492 
364 148 66.7735 0.457524 
364 149 16.6934 0.0996466 
752 150 50.0802 0.19777 
752 151 83.4669 0.5471 
74 152 2220.22 3.21521 
74 153 66.7735 0.44721 
434 154 100.16 0.625212 
434 155 16.6934 0.486692 
460 156 217.014 1.07758 
460 157 33.3868 0.209557 
168 158 233.707 0.71736 
168 159 233.707 0.902729 
208 160 467.415 1.92024 
208 161 16.6934 0.184224 
226 162 33.3868 0.252709 
226 163 50.0802 0.279703 
51 164 116.854 0.519392 
51 165 16.6934 0.189613 
404 166 33.3868 0.183569 
404 167 16.6934 0.275481 
115 168 467.415 1.18528 
115 169 16.6934 0.2152 
894 170 33.3868 0.232386 
894 171 300.481 1.06312 
582 172 50.0802 0.251137 
582 173 100.16 1.16881 
159 174 133.547 0.592203 
159 175 100.16 0.512465 
734 176 66.7735 0.617821 
734 177 16.6934 0.108403 
60 178 66.7735 0.400247 
60 179 317.174 1.24509 
362 180 33.3868 0.400258 
362 181 33.3868 0.339131 
616 182 50.0802 0.367039 
616 183 16.6934 0.149746 
19 184 33.3868 0.186802 
19 185 33.3868 0.406429 
69 186 83.4669 0.577721 
69 187 33.3868 0.339328 
848 188 16.6934 0.086996 
848 189 50.0802 0.776262 
178 190 16.6934 0.112654 
178 191 50.0802 0.337211 
762 192 150.24 0.831507 
762 193 33.3868 0.192554 
602 194 16.6934 0.198544 
602 195 83.4669 0.529113 
554 196 150.24 0.794496 
554 197 50.0802 0.618727 
151 198 33.3868 0.181634 
151 199 50.0802 0.46791 
34 200 16.6934 0.145017 
34 201 33.3868 0.435299 
85 202 33.3868 0.163971 
85 203 33.3868 0.327081 
80 204 16.6934 0.24066 
80 205 16.6934 0.239637 
630 206 50.0802 0.384582 
630 207 83.4669 0.457138 
114 208 484.108 1.96868 
114 209 33.3868 0.309831 
70 210 383.948 1.62986 
70 211 50.0802 0.596754 
372 212 16.6934 0.12647 
372 213 33.3868 0.327261 
157 214 16.6934 0.101826 
157 215 16.6934 0.173106 
900 216 16.6934 0.274272 
900 217 66.7735 0.441509 
220 218 50.0802 0.29173 
220 219 83.4669 0.577828 
838 220 133.547 0.653262 
838 221 83.4669 0.38027 
248 222 100.16 0.565594 
248 223 33.3868 0.202965 
189 224 16.6934 0.22752 
189 225 33.3868 0.682648 
125 226 83.4669 0.42348 
125 227 16.6934 0.221569 
95 228 33.3868 0.213686 
95 229 16.6934 0.151081 
213 230 16.6934 0.120076 
213 231 16.6934 0.230206 
558 232 133.547 0.830118 
558 233 16.6934 0.20922 
408 234 16.6934 0.0999012 
408 235 16.6934 0.0685893 
44 236 16.6934 0.0824185 
44 237 217.014 1.16245 
164 238 16.6934 0.0456135 
164 239 100.16 0.500942 
13 240 434.028 1.46059 
13 241 16.6934 0.261729 
9 242 1903.05 2.92405 
9 243 66.7735 0.490225 
137 244 16.6934 0.123825 
137 245 83.4669 0.603013 
662 246 16.6934 0.192818 
662 247 16.6934 0.229322 
49 248 133.547 0.718111 
49 249 33.3868 0.377467 
181 250 16.6934 0.130508 
181 251 16.6934 0.187462 
724 252 83.4669 0.377262 
